     DEBUG |  139 | Processor       | [PROCESSOR] HASH doc=about_kb4it.md body=a85a6bf39e027a552252b3958ea7c37b9cd1c952ebef0eecf7f7424dafe65c6db2bc0d04a7aca9768942e8f3b71fb9a0346b2cc0986c5099b5f6a6237aa70cd3 meta=0c6b45f7155497596425ef89c86e38abe27369dc735f408915f5d79ae0dc8ffc8fd83a83e9b8c0a3343a293e4b541a6fa179ef3c7ed57eb0303b8cfaf476869f
     DEBUG |  230 | Backend         | [BACKEND] ADD_TARGET doc=about_kb4it.md resource=about_kb4it.html
     DEBUG |  225 | Backend         | [BACKEND] KBDICT_SAVED path=/home/runner/work/techdoc/techdoc/var/db/kbdict.json
     DEBUG |  344 | Backend         | [BACKEND] EXTRACTION_END
     DEBUG |  345 | Backend         | [BACKEND] ANALYSIS_START
     DEBUG |  296 | Processor       | [PROCESSOR] ANALYZE doc=X11-SSH-FORWARDING.md body=True meta=True title=True not_cached=True compile=True
     DEBUG |  296 | Processor       | [PROCESSOR] ANALYZE doc=LINUX-SYSTEMD-JOURNALCTL.md body=False meta=True title=False not_cached=False compile=True
     DEBUG |  296 | Processor       | [PROCESSOR] ANALYZE doc=HELLO-WORLD.md body=False meta=False title=False not_cached=False compile=False
     DEBUG |  296 | Processor       | [PROCESSOR] ANALYZE doc=about_app.md body=False meta=False title=False not_cached=False compile=False
     DEBUG |  296 | Processor       | [PROCESSOR] ANALYZE doc=about_kb4it.md body=False meta=False title=False not_cached=False compile=False
     DEBUG |  192 | Processor       | [PROCESSOR] KEYS_ALL count=18
     DEBUG |  193 | Processor       | [PROCESSOR] KEYS_IGNORED count=2
     DEBUG |  194 | Processor       | [PROCESSOR] KEYS_AVAILABLE count=18
     DEBUG |  195 | Processor       | [PROCESSOR] FORCE_KV_PAIRS count=55
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Author value=Tomás Vírseda compile=True
     DEBUG |  342 | Processor       | [PROCESSOR] KEY key=Author compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Category value=Note compile=False
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Category value=Procedure compile=True
     DEBUG |  342 | Processor       | [PROCESSOR] KEY key=Category compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Command value=cp compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Command value=dnf compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Command value=du compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Command value=echo compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Command value=journalctl compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Command value=ssh compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Command value=sudo compile=True
